n [count],α [°],L [mm],H [mm],b [mm],d [mm],γ [N/mm3],Vroot [mm3],P0 [N],DR [ ],d50 [mm],φ [°],f
3,15,75.0,90.0,19.4114,5.0,1.6227528090000002e-05,4534.350557118027,0.04693902477297509,0.8,0.12,39.33,0.7987987987987988
3,15,50.0,90.0,12.940999999999999,5.0,1.6227528090000002e-05,3535.876731963809,0.15424938510491631,0.8,0.12,39.33,0.7827827827827828
6,15,75.0,90.0,19.4114,5.0,1.6227528090000002e-05,8267.564868262021,0.7200287064686859,0.8,0.12,39.33,0.8878878878878879
6,15,50.0,90.0,12.940999999999999,5.0,1.6227528090000002e-05,5796.469486737588,1.032217725719171,0.8,0.12,39.33,0.8878878878878879
F,15,75.0,90.0,19.4114,5.0,1.6227528090000002e-05,23281.01164258249,2.017568487941233,0.8,0.12,39.33,0.955955955955956
2,30,50.0,90.0,25.0,5.0,1.6227528090000002e-05,2827.91895692997,0.34148815540773536,0.8,0.12,39.33,0.6576576576576577
3,30,50.0,60.0,25.0,5.0,1.6227528090000002e-05,3154.9882045997947,1.5395424524974817,0.8,0.12,39.33,0.8068068068068068
3,30,75.0,90.0,37.5,5.0,1.6227528090000002e-05,4791.549157525702,1.2761375825403,0.8,0.12,39.33,0.7067067067067067
3,30,50.0,90.0,25.0,5.0,1.6227528090000002e-05,3744.036827147881,1.471273735,0.8,0.12,39.33,0.7367367367367368
3,30,50.0,90.0,25.0,5.0,1.6227528090000002e-05,3744.036827147881,2.4328356933299995,0.8,0.12,39.33,0.7727727727727728
3,30,50.0,120.0,25.0,5.0,1.6227528090000002e-05,4333.085449695966,2.9150934581447117,0.8,0.12,39.33,0.6336336336336337
3,30,50.0,120.0,25.0,5.0,1.6227528090000002e-05,4333.085449695966,4.523873349554999,0.8,0.12,39.33,0.6676676676676677
3,30,50.0,150.0,25.0,5.0,1.6227528090000002e-05,4922.134072244054,5.215328473075,0.8,0.12,39.33,0.5365365365365365
6,30,50.0,60.0,25.0,5.0,1.6227528090000002e-05,5745.8302135841695,0.2030335343982196,0.8,0.12,39.33,0.9039039039039038
6,30,75.0,90.0,37.5,5.0,1.6227528090000002e-05,8855.012722880292,2.7102147992261676,0.8,0.12,39.33,0.7977977977977978
6,30,50.0,90.0,25.0,5.0,1.6227528090000002e-05,6334.878836132256,3.237024539140532,0.8,0.12,39.33,0.8438438438438438
6,30,50.0,120.0,25.0,5.0,1.6227528090000002e-05,6923.927458680342,3.94915586356152,0.8,0.12,39.33,0.7677677677677678
6,30,50.0,120.0,25.0,5.0,1.6227528090000002e-05,6923.927458680342,7.764408272844999,0.8,0.12,39.33,0.8048048048048048
6,30,50.0,150.0,25.0,5.0,1.6227528090000002e-05,7512.976081228429,9.977065060375,0.8,0.12,39.33,0.7227227227227228
9,30,50.0,90.0,25.0,5.0,1.6227528090000002e-05,8689.453442612594,4.241860314498643,0.8,0.12,39.33,0.9339339339339341
12,30,50.0,90.0,25.0,5.0,1.6227528090000002e-05,10807.760646588897,5.236953138466041,0.8,0.12,39.33,0.94994994994995
F,30,50.0,90.0,25.0,5.0,1.6227528090000002e-05,20595.51473189553,5.958826969455055,0.8,0.12,39.33,0.9829829829829828
2,45,35.3553,90.0,25.0,5.0,1.6227528090000002e-05,2627.546101587218,0.8096991781849023,0.8,0.12,39.33,0.5395395395395396
3,45,35.3553,60.0,25.0,5.0,1.6227528090000002e-05,2686.289870508294,2.222446702037085,0.8,0.12,39.33,0.8198198198198198
3,45,75.0,90.0,53.033,5.0,1.6227528090000002e-05,5060.176706882071,2.202890072447857,0.8,0.12,39.33,0.6636636636636637
3,45,50.0,90.0,35.3553,5.0,1.6227528090000002e-05,3934.6553800554775,2.2809733578984117,0.8,0.12,39.33,0.7087087087087087
3,45,35.3553,90.0,25.0,5.0,1.6227528090000002e-05,3275.3384930563802,2.3882837182303525,0.8,0.12,39.33,0.7367367367367368
3,45,35.355339,90.0,25.0,5.0,1.6227528090000002e-05,3275.3402488696497,3.199809867169998,0.8,0.12,39.33,0.8188188188188188
3,45,35.3553,120.0,25.0,5.0,1.6227528090000002e-05,3864.3871156044665,2.5346357212875668,0.8,0.12,39.33,0.6216216216216216
3,45,35.355339,120.0,25.0,5.0,1.6227528090000002e-05,3864.388871417736,6.266749433489999,0.8,0.12,39.33,0.6506506506506506
3,45,35.355339,150.0,25.0,5.0,1.6227528090000002e-05,4453.437493965822,6.302060238144999,0.8,0.12,39.33,0.5295295295295295
6,45,35.3553,60.0,25.0,5.0,1.6227528090000002e-05,4518.289523259826,2.7395143802061104,0.8,0.12,39.33,0.9439439439439441
6,45,75.0,90.0,53.033,5.0,1.6227528090000002e-05,9227.441952266814,5.188169433995428,0.8,0.12,39.33,0.8018018018018018
6,45,50.0,90.0,35.3553,5.0,1.6227528090000002e-05,6629.2990690700035,4.388212317555862,0.8,0.12,39.33,0.8528528528528528
6,45,35.3553,90.0,25.0,5.0,1.6227528090000002e-05,5107.338145807912,3.7638342790548913,0.8,0.12,39.33,0.8978978978978979
6,45,35.355339,90.0,25.0,5.0,1.6227528090000002e-05,5107.342198910808,5.092730638099998,0.8,0.12,39.33,0.8808808808808809
6,45,35.3553,120.0,25.0,5.0,1.6227528090000002e-05,5696.386768355997,4.836938772019669,0.8,0.12,39.33,0.7827827827827828
6,45,35.355339,120.0,25.0,5.0,1.6227528090000002e-05,5696.3908214588955,7.927221218139999,0.8,0.12,39.33,0.8088088088088088
6,45,35.355339,150.0,25.0,5.0,1.6227528090000002e-05,6285.439444006981,9.283650568185001,0.8,0.12,39.33,0.6536536536536537
9,45,50.0,90.0,35.3553,5.0,1.6227528090000002e-05,9156.876475600595,5.5686267260298825,0.8,0.12,39.33,0.9139139139139141
9,45,35.3553,90.0,25.0,5.0,1.6227528090000002e-05,6772.271516075507,4.729628411687727,0.8,0.12,39.33,0.9389389389389391
12,45,50.0,90.0,35.3553,5.0,1.6227528090000002e-05,11517.387599647249,7.451502903278116,0.8,0.12,39.33,0.9439439439439441
12,45,35.3553,90.0,25.0,5.0,1.6227528090000002e-05,8270.138603859163,6.163705628373598,0.8,0.12,39.33,0.9689689689689691
F,45,50.0,90.0,35.3553,5.0,1.6227528090000002e-05,28887.24380265261,11.373276371655885,0.8,0.12,39.33,0.993993993993994
